bond_id,name,board_announce_date,meeting_date,effective_date,before_price,after_price,down_floor_price,ratio,is_deep,year,change_reason
118014,高测转债,,2025-06-09,2025-06-11,35.66,10.5,10.22,0.2944475602916433,True,2025.0,
118018,瑞科转债,,2026-04-10,2026-04-14,30.91,21.0,21.0,0.6793917825946295,True,2026.0,
118020,芳源转债,,2026-01-21,2026-01-23,18.63,14.0,9.4,0.7514761137949544,False,2026.0,
118023,广大转债,,2025-03-06,2025-03-10,32.96,21.2,20.04,0.6432038834951456,True,2025.0,
118025,奕瑞转债,,2023-11-24,2023-11-28,354.54,230.0,227.49,0.6487279291476279,True,2023.0,
118026,利元转债,,2024-09-02,2024-09-04,45.0,21.0,19.09,0.4666666666666667,True,2024.0,
118026,利元转债,,2023-12-01,2023-12-05,124.62,45.0,43.49,0.36109773712084736,True,2023.0,
118026,利元转债,,2023-06-02,2023-06-06,218.59,174.87,90.96,0.7999908504506154,False,2023.0,
118027,宏图转债,,2026-03-18,2026-03-20,40.94,24.55,24.55,0.5996580361504641,True,2026.0,
118027,宏图转债,,2025-02-13,2025-02-17,62.98,40.94,20.59,0.6500476341695777,True,2025.0,
118029,富淼转债,,2024-12-16,2024-12-18,19.77,18.43,14.79,0.9322205361659079,False,2024.0,
118031,天23转债,,2025-08-14,2025-08-18,25.0,16.0,15.86,0.64,True,2025.0,
118031,天23转债,,2025-02-24,2025-02-26,68.42,25.0,17.7,0.3653902367728734,True,2025.0,
118034,晶能转债,,2025-11-17,2025-11-19,13.48,6.35,6.35,0.4710682492581602,True,2025.0,
118036,力合转债,,2025-02-26,2025-02-28,36.08,29.0,28.89,0.803769401330377,False,2025.0,
118037,上声转债,,2024-06-06,2024-06-11,47.54,29.58,29.0,0.6222128733697938,True,2024.0,
118037,上声转债,,2024-01-22,,,,,,False,2024.0,
118038,金宏转债,,2024-10-14,2024-10-16,26.97,19.07,19.07,0.707081942899518,True,2024.0,
118040,宏微转债,,2024-01-29,2024-02-01,62.35,40.0,37.01,0.6415396952686447,True,2024.0,
118044,赛特转债,,2024-10-24,2024-10-28,24.2,19.0,15.114,0.7851239669421488,False,2024.0,
118045,盟升转债,,2024-09-27,2024-10-09,35.02,21.1,19.02,0.6025128498001142,True,2024.0,
118045,盟升转债,,2024-04-18,2024-04-22,42.72,35.02,29.0,0.8197565543071162,False,2024.0,
123001,蓝标转债,,2019-01-30,2019-01-31,5.29,4.31,4.31,0.8147448015122872,False,2019.0,
123001,蓝标转债,,2018-09-07,2018-09-11,9.79,5.29,5.29,0.5403472931562819,True,2018.0,
123001,蓝标转债,,2017-05-17,2017-06-01,14.95,10.0,7.79,0.6688963210702341,True,2017.0,
123002,国祯转债,,2018-09-25,2018-10-08,11.61,8.72,8.72,0.7510766580534023,False,2018.0,
123003,蓝思转债,,2019-03-29,2019-04-01,16.08,10.46,8.97,0.6504975124378111,True,2019.0,
123003,蓝思转债,,2018-08-13,2018-08-15,24.18,16.08,13.03,0.6650124069478908,True,2018.0,
123003,蓝思转债,,2018-06-26,,,,,,False,2018.0,
123004,铁汉转债,,2023-07-13,2023-07-14,3.74,2.44,2.44,0.6524064171122994,True,2023.0,
123004,铁汉转债,,2019-01-18,2019-01-21,8.23,3.99,3.99,0.4848116646415553,True,2019.0,
123007,道氏转债,,2018-12-21,2018-12-24,24.88,15.2,15.2,0.6109324758842444,True,2018.0,
123010,博世转债,,2024-04-18,2024-04-19,6.14,4.67,4.662,0.760586319218241,False,2024.0,
123010,博世转债,,2023-11-10,2023-11-13,6.91,6.14,6.14,0.8885672937771345,False,2023.0,
123010,博世转债,,2023-08-28,2023-08-29,7.72,6.91,6.9,0.895077720207254,False,2023.0,
123010,博世转债,,2022-05-19,2022-05-20,11.26,7.72,5.93,0.6856127886323268,True,2022.0,
123010,博世转债,,2019-04-08,2019-04-09,14.3,12.45,12.45,0.8706293706293705,False,2019.0,
123011,德尔转债,,2024-02-28,2024-02-29,20.18,15.88,15.56,0.7869177403369674,False,2024.0,
123011,德尔转债,,2023-11-09,2023-11-10,29.76,20.18,19.19,0.6780913978494624,True,2023.0,
123015,Z蓝转退,,2023-10-09,2023-10-13,0.84,0.22,0.22,0.2619047619047619,True,2023.0,
123015,蓝盾转债,,2023-05-08,2023-05-09,1.35,0.84,0.83,0.6222222222222221,True,2023.0,
123015,蓝盾转债,,2023-01-31,2023-02-02,2.38,1.35,1.33,0.5672268907563026,True,2023.0,
123015,蓝盾转债,,2022-07-29,2022-08-01,5.79,2.38,2.38,0.4110535405872193,True,2022.0,
123015,蓝盾转债,,2018-12-10,2018-12-11,7.89,5.82,5.82,0.7376425855513309,True,2018.0,
123023,迪森转债,,2022-05-17,2022-05-18,6.89,4.58,4.55,0.6647314949201742,True,2022.0,
123024,岱勒转债,,2021-02-02,2021-02-03,24.9,18.33,18.33,0.736144578313253,True,2021.0,
123035,利德转债,,2024-07-29,2024-07-30,5.38,4.27,4.27,0.7936802973977695,False,2024.0,
123035,利德转债,,2024-01-26,2024-01-29,6.87,5.43,5.43,0.7903930131004366,False,2024.0,
123039,开润转债,,2021-02-25,2021-02-26,32.87,30.0,24.44,0.9126863401277762,False,2021.0,
123044,红相转债,,2024-02-22,2024-02-23,7.08,3.7,3.69,0.5225988700564972,True,2024.0,
123044,红相转债,,2023-11-22,2023-11-23,18.62,7.08,7.07,0.3802363050483351,True,2023.0,
123048,应急转债,,2024-05-15,2024-05-16,8.86,7.06,7.056,0.7968397291196389,False,2024.0,
